set1	size1	set2	size2	observed_edges	lambda	p_value	log2_Anscombe_ratio	term_name_1	term_name_2
GO:0008184	3	GO:0031404	10	6	0.0538010204081633	3.21656749016404e-11	1.94702254895504	glycogen phosphorylase activity	chloride ion binding
GO:0031220	3	GO:0031404	10	6	0.0538010204081633	3.21656749016404e-11	1.94702254895504	maltodextrin phosphorylase activity	chloride ion binding
GO:0030035	1	GO:0030049	10	6	0.0538775510204082	3.24390563220027e-11	1.94689381735473	microspike assembly	muscle filament sliding
GO:0042043	12	GO:1903307	3	6	0.0538775510204082	3.24390563222674e-11	1.94689381735473	neurexin family protein binding	positive regulation of regulated secretory pathway
GO:0004972	5	GO:1905665	7	6	0.0538775510204082	3.24390563222674e-11	1.94689381735473	NMDA glutamate receptor activity	positive regulation of calcium ion import across plasma membrane
GO:0001878	11	GO:0019730	9	7	0.121173469387755	6.84564537036274e-11	1.94686327424543	response to yeast	antimicrobial humoral response
GO:0006164	8	GO:0046655	8	7	0.121224489795918	6.86554152996766e-11	1.94678910350654	purine nucleotide biosynthetic process	folic acid metabolic process
GO:0010916	4	GO:1905920	5	6	0.0539540816326531	3.27143652123127e-11	1.94676510872374	negative regulation of very-low-density lipoprotein particle clearance	positive regulation of CoA-transferase activity
GO:0039706	11	GO:0098821	6	7	0.12125	6.87550808671947e-11	1.9467520209968	co-receptor binding	BMP receptor activity
GO:0000338	10	GO:0033089	10	8	0.188647959183673	3.36471127948281e-11	1.94661145685167	protein deneddylation	positive regulation of T cell differentiation in thymus
GO:0035250	2	GO:0042355	8	6	0.0540816326530612	3.31775259719708e-11	1.94655064535946	UDP-galactosyltransferase activity	L-fucose catabolic process
GO:0042731	7	GO:0061700	8	6	0.0541836734693878	3.355196488843e-11	1.94637912056482	PH domain binding	GATOR2 complex
GO:0048846	10	GO:0060754	4	6	0.0542091836734694	3.36461210828764e-11	1.94633624573819	axon extension involved in axon guidance	positive regulation of mast cell chemotaxis
GO:1904153	9	GO:2000638	2	6	0.0542091836734694	3.36461210828764e-11	1.94633624573819	negative regulation of retrograde protein transport, ER to cytosol	regulation of SREBP signaling pathway
GO:0006995	6	GO:1901098	7	6	0.0542857142857143	3.39299076763967e-11	1.94620763654632	cellular response to nitrogen starvation	positive regulation of autophagosome maturation
GO:0005655	6	GO:0043527	4	6	0.0542857142857143	3.39299076763967e-11	1.94620763654632	nucleolar ribonuclease P complex	tRNA methyltransferase complex
